评论ID,笔记ID,用户ID,昵称,评论内容,点赞数,发布时间,IP归属地,评论等级,状态,子评论数,是否为子评论,目标用户,目标昵称
68a91c910000000030023adb,68a048c1000000001d01838e,6880383e000000001b01b63e,小土豆长高个,"8【复制全文→返回薯队APP】 仅限9月20日内，""AI大模型学习➕内推""等你很久了 MU2762 :/#u🐷😎🍗🥕😌🥐😏🥒😜🍟🥒🐟",2,2025-08-23 09:42:41,湖南,0,4,0,否,,
68a048ef000000003002a604,68a048c1000000001d01838e,6880383e000000001b01b63e,小土豆长高个,"本人AI  大模型开发，大厂核心岗月薪3w➕，Ai产品经理市场急缺，抽空带几个徒弟，从0-1搞定 大AI产品经理  ，没有套路。
可以教他 #      AI产品入门，     工业级模型压缩                     、     大模型部署优化           、业务场景调参等
要求：
·22岁以上
·晚上有空闲时间学习
本期学习不要米，留个 111关一下就行！",5,2025-08-16 17:01:35,湖南,0,3,69,否,,
68b76d240000000001002665,68a048c1000000001d01838e,648bbcf0000000001100151c,微风,111,0,2025-09-03 06:18:12,安徽,0,0,1,否,,
68b819d5000000003002d741,68a048c1000000001d01838e,67e16a06000000000e02f5da,吟风抱月,湖南有个p的32k的厂,0,2025-09-03 18:35:02,河北,0,0,0,否,,
68b3cd280000000002002093,68a048c1000000001d01838e,5e2998700000000001007be0,Affront,111,1,2025-08-31 12:18:48,广东,0,0,1,否,,
68b4865400000000300162c1,68a048c1000000001d01838e,644956170000000010029d67,小红薯644AC373,111,0,2025-09-01 01:28:53,浙江,0,0,1,否,,
68b385190000000001010985,68a048c1000000001d01838e,5d3fbe83000000001002f44a,北漂,111,0,2025-08-31 07:11:21,湖南,0,0,1,否,,
68b27e890000000002000f47,68a048c1000000001d01838e,602f6b12000000000100511b,小红薯603048C9,99,1,2025-08-30 12:31:05,北京,0,0,0,否,,
68af5e510000000002015cc0,68a048c1000000001d01838e,608e2298000000000100373a,来杯甜酒,111,0,2025-08-28 03:36:50,美国,0,0,1,否,,
68b1b573000000000902b34c,68a048c1000000001d01838e,662d38e10000000007007428,毛毛爱挣钱,111,0,2025-08-29 22:13:08,河南,0,0,1,否,,
68b18609000000000b02fda5,68a048c1000000001d01838e,62024a9c000000000201cb32,基德,111,0,2025-08-29 18:50:49,新疆,0,0,1,否,,
68b1204500000000020177cb,68a048c1000000001d01838e,63e8a95a0000000026011d12,A--影飞散灭,111,0,2025-08-29 11:36:38,上海,0,0,1,否,,
68b04707000000000903ab98,68a048c1000000001d01838e,680b8d53000000000d009ce7,小红薯,厉害👍,1,2025-08-28 20:09:43,河北,0,0,0,否,,
68b01fc40000000001011b79,68a048c1000000001d01838e,5c2b447e0000000005018e1b,Krystal,111,0,2025-08-28 17:22:12,北京,0,0,1,否,,
68afc98f000000003002b1ca,68a048c1000000001d01838e,5f21b4d00000000001009e46,Zeal,111,0,2025-08-28 11:14:24,陕西,0,0,1,否,,
68a9f695000000003001e2fe,68a048c1000000001d01838e,5f40c1d30000000001008393,一只 AI 宝,111,0,2025-08-24 01:12:54,上海,0,0,2,否,,
68a9bde800000000300189f0,68a048c1000000001d01838e,5c21aa5c0000000005001e9f,fly,111,1,2025-08-23 21:11:05,广东,0,0,1,否,,
